FirstName,LastName,Gender,DateofBirth,FatherFirstName,FatherLastName,FatherOccupation,MotherFirstName,MotherLastName,MotherOccupation
Ann,SMITH,F,1729-09-18,Margaret,SMITH,newsagent,Elizabeth,GILBANKS,nailer
Mary,DAVIES,F,1736-10-26,Patrick,DAVIES,butcher,Mary,PRITCHARD,bricklayer
Jane,BRUCE,F,1733-09-27,William,BRUCE,gas fitter,Margaret,SWAIN,labourer
Jemima,PRUST,F,1731-08-16,Edward,PRUST,dressmaker,Agnes,DAWSON,farmer
Jessie,PIPER,F,1731-11-19,William,PIPER,engineer,Jane,TRAYNOR,railway porter
George,BROWN,M,1732-01-02,Louis,BROWN,tailor,Mary,TYRER,farmer
John,BROWN,M,1732-01-02,Louis,BROWN,tailor,Mary,TYRER,farmer
Robert,WINN,M,1729-07-09,D,WINN,clerk,Margaret,ISHERWOOD,grain merchant
Martha,HEATH,F,1728-07-15,John,HEATH,house painter,Margaret,ALLT,farmer
John,HEATH,M,1728-07-15,John,HEATH,house painter,Margaret,ALLT,farmer
Elizabeth,HEATH,F,1728-07-15,John,HEATH,house painter,Margaret,ALLT,farmer
Neil,SMITH,M,1729-06-26,John,SMITH,farmer,Margaret,ROBERTSHAW,miner
James,GILLON,M,1740-01-31,Edward,GILLON,builder and decorator,Margaret,NICOL,carpenter
Elizth,PHIPPS,F,1727-12-09,Robert,PHIPPS,"window dresser, department store",Janet,AYER,farmer
James,COOPER,M,1732-08-28,Robert,COOPER,jute weaver,Lissie,JOHNSON,"nurse, education authority"
Ann,BURNET,F,1730-06-19,George,BURNET,market gardener,Elizabeth,NUTBROWN,farmer
Helen,HICK,F,1727-12-14,James,HICK,woollen merchant,Jessie,POOL,hat manufacturer
Hugh,ROGERS,M,1729-07-22,Daniel,ROGERS,butcher,Maria,ADAMS,solicitor
Alexander,BRADFORD,M,1729-05-27,William,BRADFORD,grocer,Margaret,BUSSELL,lab
Thomas,MORDIN,M,1734-04-06,David,MORDIN,indian army officer,Jessie,KNIGHT,fitter
John,HAYSOM,M,1734-10-03,George,HAYSOM,labourer,Williamina,GREENWELL,policeman
Christina,KNIGHT,F,1727-08-01,Peter,KNIGHT,motor engine assembler,Barbra,LUTT,carpenter
Mary,THOMAS,F,1729-03-09,Charles,THOMAS,spoon and fork dresser,Elizabeth,BEVIN,calenderer
Thos,THOMAS,M,1729-03-09,Charles,THOMAS,spoon and fork dresser,Elizabeth,BEVIN,calenderer
Easter,PHILLIPS,F,1733-03-21,Alexander,PHILLIPS,miner,Margaret,MORGAN,police constable
John,COOPER,M,1736-11-12,Wm,COOPER,butcher,Catherine,PAYNTON,tailor
Elisabeth,HITCHCOCK,F,1728-09-15,Willia,HITCHCOCK,fuel overseer,Georgina,JONES,miner
Janet,BETTS,F,1728-03-10,Matthew,BETTS,bread baker,Isabella,IVORY,victualler
Agnes,COLLINS,F,1727-10-10,William,COLLINS,machinist (coffee mill),Chirsty,MUDDLE,labourer
Thomas,BYE,M,1731-01-29,John,BYE,gardener,Margaret,WILLIAMSON,farmer
Adam,MANWELL,M,1744-11-17,David,MANWELL,grazier,Catherine,TAYLOR,miner
Helen,HOWARD,F,1728-09-12,James,HOWARD,blacksmith,Elizabeth,WARRE,composition maker
George,REED,M,1732-05-08,Willia,REED,high constable,Bella,ADAMS,servant
John,WEIR,M,1730-01-28,John,WEIR,labourer,Hellen,GARSIDE,labourer
John,BROWN,M,1742-12-04,George,BROWN,labourer,Margaret,DEAN,blacksmith
Jessie,BROWN,F,1742-12-04,George,BROWN,labourer,Margaret,DEAN,blacksmith
Betsy,HILL,F,1730-09-12,John,HILL,ironmonger,Mary,HOPKINS,mariner
Eliza,BROWN,F,1730-11-24,William,BROWN,teacher,Jane,SWINDLES,mechanic
David,LAIT,M,1733-09-21,William,LAIT,weaver,Margaret,WARD,lab
Joseph,GRUB,M,1735-11-13,Alexander,GRUB,tailoress,Eliza,WATERS,domestic servant
John,LINFIELD,M,1729-10-16,Robert,LINFIELD,innkeeper,Ann,TURNER,newsagent
Richard,ODELL,M,1737-05-15,David,ODELL,mason,Isabella,CATER,farmer
Alexander,ASHTON,M,1731-05-31,Robert,ASHTON,labouring man,Margaret,VAUGHAN,labourer
David,BLAIKIE,M,1734-09-11,Ross,BLAIKIE,corn & meal dealer,Agnes,MEWES,wine porter
John,BLAIKIE,M,1734-09-11,Ross,BLAIKIE,corn & meal dealer,Agnes,MEWES,wine porter
Jane,MARSHALL,F,1732-10-23,Arthur,MARSHALL,tenant farmer,Maggie,SLEEMAN,railway foreman
Alexr,SAFEGUARD,M,1728-01-08,William,SAFEGUARD,labourer,Ellen,HOLLINS,farmer
Angus,PENNYFATHER,M,1731-06-04,David,PENNYFATHER,carpenter,Janet,POTTERTON,hairdresser
Janet,JONES,F,1729-04-23,William,JONES,headmaster - board school,Robertina,TUGOLD,collier
Ellen,PEARSE,F,1730-07-11,William,PEARSE,shoemaker,Catherine,KENNEDY,flour meal miller
Margaret,MEADOWCROFT,F,1732-01-22,Thomas,MEADOWCROFT,canal boat builder,Janet,TILBROOK,ag lab
Lilly,BEAUMONT,F,1732-09-29,James,BEAUMONT,farmer,Jeannie,TYLOR,stationary engineman
Isabella,FLINN,F,1728-10-17,John,FLINN,printer,Helen,OCALLIHAN,glass worker
Mary,FOX,F,1730-08-11,Alexander,FOX,quarryman,Mary,SCOTT,collector
Bridget,CHUBB,F,1734-10-11,Patrick,CHUBB,builder,Margaret,KENWORTH,farmer
Isabella,FORBES,F,1737-08-21,Hay,FORBES,sawyer,Elizabeth,MACLEOD,farmer
James,MCEWAN,M,1742-10-04,James,MCEWAN,draper,Helen,CONSEY,machinist
Isabella,S,F,1733-05-23,Herman,S,mariner,Margaret,WHEELER,silk weaver
William,HARDIE,M,1729-12-14,William,HARDIE,cigarette maker,Marion,PACEY,coal miner
Christina,WILLER,F,1730-04-18,Thomas,WILLER,schoolmaster,Mary,MUNRO,stonemason
William,HOYLE,M,1731-03-21,David,HOYLE,latch maker,Lilias,GRABHAM,soldier
Jane,JOHNSTON,F,1730-01-04,James,JOHNSTON,school master,Annie,NOTTINGHAM,lab
Helen,CLAY,F,1734-07-29,Thomas,CLAY,canteen hand,Catherine,SHARLAND,outfitter
Jessie,EVAN,F,1730-05-18,John,EVAN,army,Margaret,BASKERVILLE,labourer
Andrew,MCPHERSON,M,1729-11-20,James,MCPHERSON,shoemaker,Christian,BEECH,fitter
Susan,REID,F,1735-12-17,Alexander,REID,gentlemans gardener,Isabella,REDFERN,coachman
John,TURTON,M,1736-11-26,Patrick,TURTON,draper,Ann,SUTTILE,labourer
Grace,WEBBER,F,1732-10-05,John,WEBBER,pig dealer,Margt,SCOTT,barman
John,DODD,M,1732-11-07,Hugh,DODD,cooper,Margaret,AUDSLEY,dressmaker
William,YOUNG,M,1730-04-22,Thomas,YOUNG,builder & contractor,Euphemia,RAE,carpenter
Mary,TUNICLIFFE,F,1732-06-28,Robert,TUNICLIFFE,transport worker,Jane,ASHLEY,mercer
William,PARKER,M,1739-05-30,Peter,PARKER,labourer,Maggie,SIMMONS,cabinet maker
Eliza,GRISI,F,1731-02-04,John,GRISI,lab,Margaret,JOHN,weaver
Annie,PIRLANE,F,1732-02-17,George,PIRLANE,mineral water maker,Jane,MORRIS,police constable
Arthur,LEAVENT,M,1733-11-26,John,LEAVENT,farmer,Elizabeth,YOUNG,stone mason
Christina,LEAVENT,F,1733-11-26,John,LEAVENT,farmer,Elizabeth,YOUNG,stone mason
Agnes,ARTUR,F,1733-11-20,Samuel,ARTUR,ag lab,Margaret,HAYTON,post master
Helen,CRANE,F,1736-04-01,Alexander,CRANE,farm labourer,Helen,WRIGHT,farm lab
Jenet,HOW,F,1735-06-20,John,HOW,carpenter,Christina,SIRRELL,gardener
John,RICHMOND,M,1730-09-26,Geo,RICHMOND,ships carpenter,Maggy,HERBERT,tailor
David,RICHMOND,M,1730-09-26,Geo,RICHMOND,ships carpenter,Maggy,HERBERT,tailor
John,MOORE,M,1732-05-03,Will,MOORE,labourer,Rebecca,DAVIS,plumber
William,KEENAN,M,1734-09-28,Basiel,KEENAN,thatcher,Robina,LAPPING,assistant school caretaker
Catharine,KEENAN,F,1734-09-28,Basiel,KEENAN,thatcher,Robina,LAPPING,assistant school caretaker
Robert,LANE,M,1738-04-26,Charles,LANE,railway carriage examiner,Jane,HILL,wireless mechanic raf
John,NUTTALL,M,1739-07-26,Joseph,NUTTALL,factory hand,Ellen,DEACON,innkeeper
