rec-id,FirstName,Gender,LastName,FatherLastName,DateofBirth,FatherFirstName,FatherOccupation,MotherLastName,MotherFirstName,MotherOccupation,Occupation
rec-123-org,David,M,ROGERS,ROGERS,1729-10-27,James,servant,ELDRED,Mary,manager, tile factory,coachman
rec-124-org,Thomas,M,MORRIS,MORRIS,1731-03-02,John,farmer,MILLER,Margaret,school attendance officer,farmer
rec-125-dup-0,E1spet,F,SHAW,SHAW,1730-06-06,Henry,engineer,DOUR,Elizabeth,boatman,carpenter
rec-125-org,Elspet,F,SHAW,SHAW,1730-06-06,Henry,engineer,DOUR,Elizabeth,boatman,carpenter
rec-126-org,Christina,F,CROOKS,CROOKS,1739-08-21,Thomas,farmer,LAXTON,Agnes,gardener,school mistress
rec-127-org,Jeanie,F,STEPHENS,STEPHENS,1728-06-18,Wm,riding master,KNOW,Janet,secretary,mariner
rec-128-org,Grace,F,DOWN,DOWN,1732-12-08,George,printer,SHOOTER,Mary,tanner,gentlemans coachman
rec-129-org,Duncan,M,MANNING,MANNING,1730-03-05,James,quarryman,TYNE,Mary,farmer,tailor
rec-13-dup-0,Johri,M,HUNTLEY,HUNTLEY,1723-01-10,Samuel,shepherd,BAKER,Jane,coal miner,basket maker
rec-13-dup-1,Jojn,M,HUNTLEY,HUNTLEY,1723-01-10,Samuel,shepherd,BAKER,Jane,coal miner,basket maker
rec-13-org,John,M,HUNTLEY,HUNTLEY,1723-01-10,Samuel,shepherd,BAKER,Jane,coal miner,basket maker
rec-130-org,George,M,BACKHOUSE,BACKHOUSE,1730-09-15,Thomas,ag lab,DAVIDSON,Jane,assistant secretary, museum,gardener
rec-131-dup-0,Ro1>ert,M,FOSTER,FOSTER,1735-08-24,Hugh,labourer,TROOP,Eliz,oriform machinist,labourer
rec-131-dup-1,Ronert,M,FOSTER,FOSTER,1735-08-24,Hugh,labourer,TROOP,Eliz,oriform machinist,labourer
rec-131-org,Robert,M,FOSTER,FOSTER,1735-08-24,Hugh,labourer,TROOP,Eliz,oriform machinist,labourer
rec-132-org,David,M,HARD,HARD,1740-02-18,George,mason,HUTTON,Annie,blacksmith,blacksmith
rec-133-org,Margaret,F,MILLER,MILLER,1731-07-01,James,jack frame tenter (cotton mill),PHILLIPS,C,domestic servant,corporal & shorthand typist in legal branch of arm
rec-134-org,Donald,M,EVANS,EVANS,1748-05-10,Archibald,farmer,BRAY,Catherine,labourer,sailor
rec-135-org,James,M,HODGSON,HODGSON,1734-02-21,Robert,labourer,MCCALLUM,Jessie,cigarette maker,drover
rec-136-org,George,M,FAIR,FAIR,1733-03-03,James,thatcher,NORSK,Mary,crane driver,farmer
rec-137-org,Mary,F,BARKER,BARKER,1729-12-27,Samuel,grocer,STEWART,Christina,warehouseman,personal assistant to dept manager
rec-138-org,Eliza,F,ROBERTS,ROBERTS,1735-11-18,Samuel,domestic cleaner,FORRESTER,Christiana,jeweller,shipwright
rec-139-org,Agnes,F,GILMOUR,GILMOUR,1734-02-28,William,scrap labourer,ALLEN,Isabella,railway clerk,farm bailiff
rec-14-org,William,M,RICH,RICH,1724-02-27,James,time keeper (civil engineering),FAGAN,Isabella,teacher,plumber
rec-140-org,Jessie,F,BODEN,BODEN,1739-07-03,James,servant,GARDENER,Elspet,school master,coal miner
rec-141-dup-0,Lukinda,F,FOURACRE,FOURACRE,1731-06-18,John,shopkeeper,MALPAS,Margaret,weaver,weaver
rec-141-dup-1,Ljcinda,F,FOURACRE,FOURACRE,1731-06-18,John,shopkeeper,MALPAS,Margaret,weaver,weaver
rec-141-org,Lucinda,F,FOURACRE,FOURACRE,1731-06-18,John,shopkeeper,MALPAS,Margaret,weaver,weaver
rec-142-org,Mary,F,CHESTERTON,CHESTERTON,1733-11-06,John,dockyard policeman,MUSTY,Marjory,stonemason,commercial traveller (dec'd)
rec-143-org,Annie,F,JONE,JONE,1735-06-30,Duncan,saddler,PARDOE,Jane,gardener,shop assistant
rec-144-org,Ann,F,JONE,JONE,1735-06-30,Duncan,saddler,PARDOE,Jane,gardener,general labourer
rec-145-dup-0,Alexaner,M,CALVERT,CALVERT,1729-11-25,Alexr,shoemaker,HENDELL,Janet,waterman,electrician
rec-145-org,Alexander,M,CALVERT,CALVERT,1729-11-25,Alexr,shoemaker,HENDELL,Janet,waterman,electrician
rec-146-org,Jessie,F,WALLER,WALLER,1731-01-28,Robert,hawker,SMITH,Caloline,farmer,mason
rec-147-org,Annie,F,VICKERS,VICKERS,1729-11-22,Wm,glassmaker,WHITTLE,Mary,blacksmith,engineer
rec-148-org,Will,M,LONDON,LONDON,1734-01-06,John,farmer,PASSMORE,Ann,map and print colourer,headmaster
rec-149-org,John,M,STURGESS,STURGESS,1741-01-26,Patrick,shoe finisher,FORRESTER,Annie,steel erector,accountant
rec-15-dup-0,Catherinel,F,FOSTER,FOSTER,1725-11-13,Hugh,labourer,TROOP,Eliz,oriform machinist,boat builder
rec-15-dup-1,Caherine,F,FOSTER,FOSTER,1725-11-13,Hugh,labourer,TROOP,Eliz,oriform machinist,boat builder
rec-15-org,Catherine,F,FOSTER,FOSTER,1725-11-13,Hugh,labourer,TROOP,Eliz,oriform machinist,boat builder
rec-150-org,Annie,F,RAMSDEN,RAMSDEN,1735-06-04,Will,railway guard,WEBESTER,Elen,master butcher,clerk in holy orders
rec-151-org,Euphema,F,THOMAS,THOMAS,1731-06-11,Samuel,landowner,GREENAWAY,Christina,nurseryman,clerk
rec-152-org,Mary,F,PHILLIPS,PHILLIPS,1734-11-30,John,textile worker,SHINN,Ellen,mariner,farmer
rec-153-org,Colin,M,WILLIAMS,WILLIAMS,1734-03-27,David,cab proprietor,RAE,Elizabeth,cheesemonger,solicitor
rec-154-org,Mary,F,MORAN,MORAN,1735-09-26,Thomas,ships carpenter,BARSBY,Elizabeth,bricklayer,paper mill worker
rec-155-org,John,M,DAVIES,DAVIES,1736-09-19,William,shop owner,PAWSEY,Mary,iron merchant,compositor
rec-156-org,Jessie,F,THOMAS,THOMAS,1734-01-26,Matthew,farmer,GILL,Margaret,domestic servant,dressmaker
rec-157-org,Robert,M,QUARLE,QUARLE,1736-03-27,James,farm labourer,BARRETT,Mary,laundress,sea captain
rec-158-org,Jessie,F,DICKENSON,DICKENSON,1735-02-04,James,yeoman  farmer,RISPIN,Martha,box tenter, woollen mill,gardener
rec-159-org,Catherine,F,BELL,BELL,1739-06-02,John,lab,HARDCASTLE,Helen,carpenter,lacemaker
rec-16-dup-0,Marv,F,CARTER,CARTER,1724-01-10,Robert,servant,SELKIRK,Emma,fisherman,pub worker
rec-16-dup-1,May,F,CARTER,CARTER,1724-01-10,Robert,servant,SELKIRK,Emma,fisherman,pub worker
rec-16-org,Mary,F,CARTER,CARTER,1724-01-10,Robert,servant,SELKIRK,Emma,fisherman,pub worker
rec-160-org,Robert,M,TAYLOR,TAYLOR,1730-11-11,William,officer of customs & excise (docks),EVANS,Isabella,mechanical engineering worker (skilled),servant
rec-161-org,Charles,M,SAUNDERSON,SAUNDERSON,1731-11-15,William,mariner,WETHERELL,Mary,farm labourer,coal miner
rec-162-org,Jane,F,PETERS,PETERS,1732-03-28,Caldwell,farmer,NORTH,Maggie,boiler maker,gardener
rec-163-org,Willia,M,BENN,BENN,1733-03-05,Charles,domestic servant,HOWARTH,Jane,farm labourer,draper
rec-164-org,Georgina,F,LOCH,LOCH,1733-12-04,Alfred,steam roller driver,MCMILLAN,Annie,miller,cotton mill dresser
rec-165-org,Catherine,F,CHAPLIN,CHAPLIN,1738-07-06,William,weaver,BROWNLIE,Ann,policeman,master tailor
rec-166-org,Janet,F,LIFTON,LIFTON,1729-11-26,James,gilder,HOLLIWELL,Margaret,carpenter,farmer
rec-167-org,Elizbeth,F,EDWARD,EDWARD,1732-05-13,Samuel,farmer,DAWSON,Helen,builder, master (dockyards),ag lab
rec-168-org,Robt,M,DAVIES,DAVIES,1733-12-28,Mark,transport rider,SPRINGETT,Elizabeth,cabinet maker,granite polisher
rec-169-org,Alexander,M,DAVIES,DAVIES,1733-12-28,Mark,transport rider,SPRINGETT,Elizabeth,cabinet maker,farmer
rec-17-org,Isabella,F,THOMAS,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,C,domestic servant,managing director (rolling stock firm)
rec-170-org,William,M,DAVIES,DAVIES,1733-12-28,Mark,transport rider,SPRINGETT,Elizabeth,cabinet maker,labourer
rec-171-org,Malm,M,DAVIES,DAVIES,1733-12-28,Mark,transport rider,SPRINGETT,Elizabeth,cabinet maker,domestic servant
rec-172-dup-0,Jamaes,M,HEATLEY,HEATLEY,1732-09-01,Archbald,head brewer,SUTCLIFFE,Harriet,commercial traveller,chief boatswain (coastguard)
rec-172-org,James,M,HEATLEY,HEATLEY,1732-09-01,Archbald,head brewer,SUTCLIFFE,Harriet,commercial traveller,chief boatswain (coastguard)
rec-173-dup-0,uMaggie,F,DYER,DYER,1733-04-05,David,painter,ANDERSON,Alice,vinegar merchant,miller
rec-173-org,Maggie,F,DYER,DYER,1733-04-05,David,painter,ANDERSON,Alice,vinegar merchant,miller
rec-174-org,Marion,F,DAUKES,DAUKES,1730-03-02,James,carter,REDFORDS,Anne,gardener,sailor
rec-175-org,Robert,M,PERRY,PERRY,1740-08-07,John,coal miner,BINGHAM,Jane,house parlour maid,miner
rec-176-org,George,M,MORRISON,MORRISON,1739-03-06,William,miller,HARRISON,Jessie,painter,boilermaker
rec-177-org,Mary,F,SIMON,SIMON,1734-08-16,George,soldier,BROWN,Jessie,thatcher,tailoress
rec-178-org,Rob,M,HALL,HALL,1733-07-08,Daniel,forgeman,LATINDIE,Jane,gentleman,tenant farmer
rec-179-org,Margaret,F,TONGE,TONGE,1736-03-04,John,parish clerk,ROBINSON,Sophia,locksmith,weaver
rec-18-org,John,M,THOMAS,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,C,domestic servant,cottager
rec-180-org,Ruth,F,MORTIMER,MORTIMER,1732-04-27,John,telephone engineer - g.p.o.,LYNALL,Elizth,dressmaker,coal miner
rec-181-dup-0,ghos,M,CHADWICH,CHADWICH,1732-01-11,Charles,engineer,JONES,Maggie,cabinet maker,lab
rec-181-org,Thos,M,CHADWICH,CHADWICH,1732-01-11,Charles,engineer,JONES,Maggie,cabinet maker,lab
rec-182-org,Helen,F,CHADWICH,CHADWICH,1732-01-11,Charles,engineer,JONES,Maggie,cabinet maker,stone mason
rec-183-org,Maggie,F,GARDNER,GARDNER,1737-05-24,William,house carpenter,HANOLD,Elizabeth,house agent,printer
rec-184-org,Sarah,F,HOLLAND,HOLLAND,1732-10-10,Willia,lt rn,MAGRATH,Agnes,stone cutter,labourer
rec-185-org,Jane,F,MUNDELL,MUNDELL,1734-06-30,John,labourer,REAKES,Margaret,farmer,cordwainer
rec-186-org,Margaret,F,ANDERSON,ANDERSON,1732-09-28,Patrick,farmer,MOON,Ann,police constable,tailor
rec-187-org,James,M,ROBERTS,ROBERTS,1745-06-01,Robert,farmer,RODGERS,Mary,labourer,clerk in holy orders
rec-188-org,George,M,BOYLE,BOYLE,1736-03-12,Hector,iron works manager,WATON,Agnes,labourer,mechanical dentist
rec-189-org,Agnes,F,FLETCHER,FLETCHER,1734-09-26,Andrew,bleacher,COOK,Ann,shop assistant in greengrocer's,sanitary inspector
rec-19-org,Jane,F,BELL,BELL,1727-01-13,John,lab,HARDCASTLE,Helen,carpenter,farmer
rec-190-dup-0,Isa1>ella,F,TODD,TODD,1745-11-27,James,timber merchant,ELLIS,Ann,farm labourer,school teacher
rec-190-org,Isabella,F,TODD,TODD,1745-11-27,James,timber merchant,ELLIS,Ann,farm labourer,school teacher
rec-191-org,Alexander,M,STIVEY,STIVEY,1735-07-19,Edmund,butcher,LAWSON,Jane,gas works labourer,quarryman
rec-192-org,Agnes,F,OVENDEN,OVENDEN,1736-01-11,David,grazier,CRICK,Jane,butcher,warehouseman
rec-193-org,Catherine,F,BURNETT,BURNETT,1736-12-14,John,collier,JACKSON,Amelia,fireman,,painter
rec-194-org,Jessie,F,OFFLER,OFFLER,1735-07-27,Charles,labourer,WELLS,Mary,miner,teacher
rec-195-org,Marion,F,BOWMAN,BOWMAN,1733-03-07,Hugh,draper,TREDWIN,Jane,clerk,civil servant, post office
rec-196-org,Mary,F,KENNETT,KENNETT,1732-06-05,Robert,foreman fire service,SHAW,Janet,lab,painter
rec-197-org,Thomas,M,STEPHENS,STEPHENS,1731-02-18,Wm,riding master,KNOW,Janet,secretary,fisherman
rec-198-org,Isabella,F,FLINT,FLINT,1735-06-10,Robert,farmer,MORISON,Jane,grocer,domestic servant
rec-199-dup-0,Wizliamina,F,SPIRES,SPIRES,1732-08-29,John,tailor,GRINDROD,Joann,labourer,bank clerk
rec-199-org,Williamina,F,SPIRES,SPIRES,1732-08-29,John,tailor,GRINDROD,Joann,labourer,bank clerk
rec-2-org,George,M,MARCH,MARCH,1719-06-06,Andrew,bricklayer,MITCHELL,Margaret,domestic servant,cork hawker
rec-20-org,William,M,JONE,JONE,1726-05-14,Duncan,saddler,PARDOE,Jane,gardener,bricklayer
rec-200-org,John,M,BROWN,BROWN,1734-04-08,John,lab,LEES,Mary,horsekeeper,builder
rec-201-dup-0,Anniw,F,RICHARDSON,RICHARDSON,1733-04-08,Alexander,servant,CULL,Margaret,mechanic,cotton broker
rec-201-dup-1,Anie,F,RICHARDSON,RICHARDSON,1733-04-08,Alexander,servant,CULL,Margaret,mechanic,cotton broker
rec-201-org,Annie,F,RICHARDSON,RICHARDSON,1733-04-08,Alexander,servant,CULL,Margaret,mechanic,cotton broker
rec-202-org,Donald,M,BURT,BURT,1732-11-27,John,currier,HUNTER,Georgina,file cutter,carpenter
rec-203-org,John,M,CHANNAR,CHANNAR,1740-01-02,Duncan,carpenter,SMITH,Helen,smith,miner (face)
rec-204-org,Ann,F,THOMPSON,THOMPSON,1733-10-31,Jas,butcher,HISCOCKS,Elizabeth,shear striker,cordwainer
rec-205-org,Mary,F,BOLAND,BOLAND,1733-11-09,James,blacksmith,LEES,Agnes,master mariner,maltster
rec-206-org,Jessie,F,WALLER,WALLER,1737-12-27,John,farmer,KERR,Mary,gardener,coach painter
rec-207-org,Terrace,M,MOORE,MOORE,1732-05-19,Thomas,tailor,MANN,Ketty,tanner,butcher
rec-208-dup-0,Donqld,M,JENNINGS,JENNINGS,1738-10-29,Duncan,coastguard,GREASELEY,Janet,mariner,labourer
rec-208-dup-1,Donajd,M,JENNINGS,JENNINGS,1738-10-29,Duncan,coastguard,GREASELEY,Janet,mariner,labourer
rec-208-dup-2,Donal,M,JENNINGS,JENNINGS,1738-10-29,Duncan,coastguard,GREASELEY,Janet,mariner,labourer
rec-208-org,Donald,M,JENNINGS,JENNINGS,1738-10-29,Duncan,coastguard,GREASELEY,Janet,mariner,labourer
rec-209-org,Dugald,F,FULKER,FULKER,1738-09-01,James,farmer,BARBER,Mary,coachman,central heating & plumber engineer
rec-21-org,Isabella,F,DANNILS,DANNILS,1724-03-14,Robert,warehouseman,LOCK,Marion,foreman mechanic,carpenter
rec-210-org,Hugh,M,BROWN,BROWN,1731-08-07,James,bricklayer,TILLE,Matilda,labourer,warehouse man
rec-211-org,Mary,F,WOOTTON,WOOTTON,1735-01-29,George,secretary,ELWORTHY,Jane,stonemason,waterman
rec-212-org,John,M,MCCRAE,MCCRAE,1736-04-17,Henry,servant,WALTERS,Jane,gardener,lace maker
rec-213-org,John,M,LEE,LEE,1752-07-29,Thomas,puddler (at iron works),VOYER,Janet,seaman,domestic servant
rec-214-org,Mary,F,ADAMSON,ADAMSON,1736-04-16,Andrew,weaver,GIBSON,Isabella,fitter and turner,table knife hafter
rec-215-org,Margaret,F,NIMMO,NIMMO,1738-03-20,John,farmer,ROBERTS,Mary,bottlemaker,builders labourer
rec-216-org,William,M,CLEMO,CLEMO,1735-04-28,Charles,ag lab,BROWN,Sarah,grocer,farmer
rec-217-org,Robert,M,MINTO,MINTO,1740-05-30,John,ag lab,HOBERTON,Elizabeth,straw plaiter,lab
rec-218-org,Elizabeth,F,CLARK,CLARK,1733-08-01,Patrick,farmer,SLITH,Elizabeth,clerk, railway works,miner
rec-219-org,John,M,HARRIS,HARRIS,1737-04-22,John,file cutter,MITCHELL,Margret,labourer,railwayman
rec-22-org,Willia,M,MAHAFFEY,MAHAFFEY,1720-01-11,Hugh,curate,FARBROTHER,Matilda,servant,weaver
rec-220-org,Alexander,M,DANNILS,DANNILS,1734-12-27,Robert,warehouseman,LOCK,Marion,foreman mechanic,ag lab
rec-221-dup-0,Alexe,M,ODEY,ODEY,1736-03-28,Peter,cafe proprietor,FARBROTHER,Matilda,servant,sergeant, royal marines
rec-221-dup-1,A1exr,M,ODEY,ODEY,1736-03-28,Peter,cafe proprietor,FARBROTHER,Matilda,servant,sergeant, royal marines
rec-221-dup-2,Alezr,M,ODEY,ODEY,1736-03-28,Peter,cafe proprietor,FARBROTHER,Matilda,servant,sergeant, royal marines
rec-221-org,Alexr,M,ODEY,ODEY,1736-03-28,Peter,cafe proprietor,FARBROTHER,Matilda,servant,sergeant, royal marines
rec-222-org,William,M,STRUIGER,STRUIGER,1736-11-07,Hugh,miner,CROSSIAN,Margaret,typist,iron works employee
rec-223-org,Hugh,M,FOX,FOX,1743-09-15,William,mariner,REYNOLDS,Jane,jailor,general lab
rec-224-org,Hannah,F,MCDONALD,MCDONALD,1732-11-11,Andrew,labourer,HAYES,Janet,grocer's assist.,shoemaker
rec-225-org,James,M,WHATTON,WHATTON,1736-03-29,John,carpenter,STEPHENSON,Elisabeth,mariner,farmer
rec-226-org,Jane,F,CORBY,CORBY,1737-11-05,Daniel,labourer,ASPREAL,Janet,joiner,saddler
rec-227-org,Jean,F,TEASDALE,TEASDALE,1746-01-16,James,labourer,SLATARD,Elspeth,farmer,clerk
rec-228-dup-0,Janes,M,ROGERS,ROGERS,1734-09-25,James,servant,ELDRED,Mary,manager, tile factory,gardener
rec-228-dup-1,Jamew,M,ROGERS,ROGERS,1734-09-25,James,servant,ELDRED,Mary,manager, tile factory,gardener
rec-228-dup-2,Jajmes,M,ROGERS,ROGERS,1734-09-25,James,servant,ELDRED,Mary,manager, tile factory,gardener
rec-228-org,James,M,ROGERS,ROGERS,1734-09-25,James,servant,ELDRED,Mary,manager, tile factory,gardener
rec-229-org,Peter,M,HAMPTON,HAMPTON,1737-06-13,Alexander,labourer,DAVIES,Rebecca,manager of newsagent/tobacconist,corresponding clerk
rec-23-org,Margaret,F,WILKIE,WILKIE,1731-01-20,Henry,bricklayer,BOTT,Isabella,orchestra attendant,cabinet maker
rec-230-org,Will,M,TAYLOR,TAYLOR,1736-02-09,John,mason,MASLIN,Sarah,clerk,enamel leather worker
rec-231-org,Samuel,M,VICKERS,VICKERS,1734-09-01,Wm,glassmaker,WHITTLE,Mary,blacksmith,blacksmith
rec-232-org,Malcom,M,CALVERT,CALVERT,1734-07-21,Alexr,shoemaker,HENDELL,Janet,waterman,engineering contractor
rec-233-org,Elizabeth,F,LIFTON,LIFTON,1734-05-04,James,gilder,HOLLIWELL,Margaret,carpenter,dental surgeon
rec-234-org,David,M,JONES,JONES,1744-07-24,Alexanda,blacksmith,NICHOLLS,Mary,twister,coal miner
rec-235-org,Margaret,F,MARCH,MARCH,1739-05-08,Andrew,bricklayer,MITCHELL,Margaret,domestic servant,ship wright
rec-236-org,Samuel,M,BARKER,BARKER,1735-02-28,Samuel,grocer,STEWART,Christina,warehouseman,labourer
rec-237-org,Stewart,M,GREEN,GREEN,1738-02-09,James,smith,WILLIAMS,Jane,brickmaker,gardener
rec-238-org,James,M,DAUKES,DAUKES,1736-02-16,James,carter,REDFORDS,Anne,gardener,butcher
rec-239-org,Thomas,M,MANNING,MANNING,1739-08-15,James,quarryman,TYNE,Mary,farmer,ironmonger
rec-24-org,Ernest,M,TAYLOR,TAYLOR,1720-04-08,John,mason,PICKTON,Elizabeth,farmer,farmer
rec-240-org,Eliza,F,GRETTON,GRETTON,1734-04-11,Andrew,shepherd,FERDINAND,Helen,blacksmith,laundress
rec-241-org,Agnes,F,WEDLOCK,WEDLOCK,1736-02-14,John,clay tobacco pipe maker,DUDLEY,Agnes,labourer,ag lab
rec-242-org,Jane,F,HORSNALL,HORSNALL,1739-10-17,Joseph,shoe shop manageress,BRADDISH,Thos,hotel keeper,blacksmith
rec-243-dup-0,Jarie,F,ANDREWS,ANDREWS,1733-10-30,David,railway inspector,FORMAN,Agnes,pattern maker,gardener
rec-243-org,Jane,F,ANDREWS,ANDREWS,1733-10-30,David,railway inspector,FORMAN,Agnes,pattern maker,gardener
rec-244-org,Grace,F,SMITH,SMITH,1752-07-27,James,ladies companion,DAVIDGE,Jane,farmer,perpetual curate
rec-245-dup-0,Janes,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-245-dup-1,Jamex,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-245-dup-2,Jmaes,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-245-org,James,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-246-dup-0,Wiiliam,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-246-dup-1,Williqm,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-246-dup-2,Will8am,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-246-org,William,M,COLES,COLES,1736-06-22,Robert,watchmaker,EVANS,Margaret,gentleman,labourer
rec-247-org,Mary,F,ROWAN,ROWAN,1739-07-25,Christopher,reeler,LONG,Maria,clerk,tobacconist
