FirstName,Gender,FatherLastName,FatherFirstName,MotherLastName,FatherOccupation,MotherOccupation,DateofBirth,MotherFirstName,LastName,Occupation
Alexr,M,BURNETT,John,JACKSON,collier,"fireman,",1728-05-09,Amelia,BURNETT,innkeeper
Agnes,F,TAYLOR,William,EVANS,officer of customs & excise (docks),mechanical engineering worker (skilled),1722-05-15,Isabella,TAYLOR,railway fireman
James,M,DAVIES,Mark,SPRINGETT,transport rider,cabinet maker,1727-09-01,Elizabeth,DAVIES,carpenter
Sarah,F,BACKHOUSE,Thomas,DAVIDSON,ag lab,"assistant secretary, museum",1725-10-14,Jane,BACKHOUSE,tailor
Alice,F,SMITH,Hugh,SPRAGG,potter,engine driver (british rail),1724-04-23,Isabella,SMITH,gold cutter
Helen,F,SMITH,Hugh,SPRAGG,potter,engine driver (british rail),1724-04-23,Isabella,SMITH,bank partner
Jessie,F,PERRY,John,BINGHAM,coal miner,house parlour maid,1727-11-16,Jane,PERRY,glassmaker
Elizabeth,F,TAYLOR,John,PICKTON,mason,farmer,1725-06-11,Elizabeth,TAYLOR,police constable
Annie,F,CALVERT,Alexr,HENDELL,shoemaker,waterman,1723-10-26,Janet,CALVERT,harness maker
Ann,F,BENN,Charles,HOWARTH,domestic servant,farm labourer,1724-02-25,Jane,BENN,labourer
James,M,WILLIAMS,David,RAE,cab proprietor,cheesemonger,1726-11-08,Elizabeth,WILLIAMS,gardener
Jessie,F,MORRISON,William,HARRISON,miller,painter,1727-11-27,Jessie,MORRISON,farmer
Andrew,M,DAUKES,James,REDFORDS,carter,gardener,1727-10-30,Anne,DAUKES,hawker
Annie,F,THOMAS,Samuel,GREENAWAY,landowner,nurseryman,1726-08-06,Christina,THOMAS,framework knitter
Jane,F,STEPHENS,Wm,KNOW,riding master,secretary,1725-09-05,Janet,STEPHENS,nailer
Rachael,F,STEPHENS,Wm,KNOW,riding master,secretary,1725-09-05,Janet,STEPHENS,barrister
Ann,F,TONGE,John,ROBINSON,parish clerk,locksmith,1728-01-09,Sophia,TONGE,framework knitter
Ella,F,TUCKER,James,MOUNTFORD,blacksmith,master mariner,1724-11-15,Margret,TUCKER,farmer
David,M,FLINT,Robert,MORISON,farmer,grocer,1728-07-22,Jane,FLINT,mechanical engineer
Betsy,F,BOWMAN,Hugh,TREDWIN,draper,clerk,1724-12-14,Jane,BOWMAN,lab
Mary,F,CORNER,Donald,SCHOLES,chargehand/foreman,bootmaker,1731-05-30,Marion,CORNER,river water mariner
Sarah,F,WALLER,Robert,SMITH,hawker,farmer,1726-06-06,Caloline,WALLER,shipwright (hm dockyard)
Louisa,F,ROBINSON,James,STONE,shoemaker,coal miner,1731-10-21,Annie,ROBINSON,weaver
David,M,PHILLIPS,John,SHINN,textile worker,mariner,1726-11-01,Ellen,PHILLIPS,ag lab
John,M,WHATTON,John,STEPHENSON,carpenter,mariner,1729-10-02,Elisabeth,WHATTON,turner
Thomas,M,BAKER,William,HALL,cordwainer,ag lab,1731-06-24,Elizebath,BAKER,miner
George,M,HOLLAND,Willia,MAGRATH,lt rn,stone cutter,1728-03-05,Agnes,HOLLAND,cloth dresser
Henry,M,ROGERS,James,ELDRED,servant,"manager, tile factory",1725-07-06,Mary,ROGERS,porter
David,M,TAYLOR,William,EVANS,officer of customs & excise (docks),mechanical engineering worker (skilled),1727-01-27,Isabella,TAYLOR,gamekeeper
Margaret,F,ENGLISH,Robert,CHALMERS,tailor,carriage works tinsmith,1730-06-11,Margaret,ENGLISH,wheelwright
Jane,F,HALL,Daniel,LATINDIE,forgeman,gentleman,1727-12-16,Jane,HALL,carpenter
Agnes,F,MCCRAE,Henry,WALTERS,servant,gardener,1729-03-02,Jane,MCCRAE,shoemaker
Bella,F,SCAUTLEBURG,Alexander,HAMPDEN,secretary,ag lab,1740-05-26,Maggie,SCAUTLEBURG,farmer
Jean,F,RAND,David,FREELING,shipwright,printer,1740-09-07,Jane,RAND,farmer
Mary,F,BENSON,Alexander,HARRIS,coachman/groom,foreman (boot making),1748-03-08,Jessie,BENSON,machinist
Thomas,M,BURT,John,HUNTER,currier,file cutter,1728-10-30,Georgina,BURT,silk mercer
Mary,F,MCALLISTER,Adam,ATKIN,stonemason,cook and housekeeper,1735-11-28,Mary,MCALLISTER,compositor
James,M,BECK,Malcolm,FELL,builder,farmer,1740-03-25,Kate,BECK,horseshoer
James,M,STEDMAN,David,HART,coal miner,cutter,1732-01-27,Helen,STEDMAN,ratefixer at electrical engineers
Grace,F,GREEN,James,WILLIAMS,smith,brickmaker,1729-12-30,Jane,GREEN,"machinist, uniforms"
Margaret,F,ADAMSON,Andrew,GIBSON,weaver,fitter and turner,1729-03-20,Isabella,ADAMSON,labourer
John,M,HUNTLEY,Samuel,BAKER,shepherd,coal miner,1735-09-12,Jane,HUNTLEY,army lieutenant
David,M,ROGERS,Kenneth,SMITH,iron moulder,licensed victualler,1730-08-08,Margaret,ROGERS,watchmaker
Margaret,F,DYER,David,ANDERSON,painter,vinegar merchant,1727-09-13,Alice,DYER,pharmacist
Jeannie,F,FAIR,James,NORSK,thatcher,crane driver,1726-03-30,Mary,FAIR,woollen spinner
William,M,RACKHAM,Alexander,WALLACE,shoemaker,plasterer,1734-01-13,Janet,RACKHAM,farmer
Jessie,F,GRETTON,Andrew,FERDINAND,shepherd,blacksmith,1730-03-06,Helen,GRETTON,labourer
Robert,M,SPENCE,David,MANNING,provision dealer,bootmaker,1731-02-22,Margaret,SPENCE,gentlemans club porter
David,M,SKEAD,Alexander,PEPPERELL,tailor,broker,1731-02-11,Helen,SKEAD,ladies maid
Robt,M,HARTLEY,William,YARLEY,labourer,labourer,1735-04-28,Jane,HARTLEY,clerk in holy orders
Mary,F,KEARSLEY,Archibald,DOW,grocer,labourer,1732-02-16,Ann,KEARSLEY,postman
Matthew,M,MCDONALD,Andrew,HAYES,labourer,grocer's assist.,1729-09-21,Janet,MCDONALD,carpenter
Barbara,F,WRIGHT,Andrew,MARLES,blacksmith,engineer,1732-09-11,Janet,WRIGHT,labourer in hm dockyard
George,M,CALVERT,Alexr,HENDELL,shoemaker,waterman,1726-05-31,Janet,CALVERT,cotton spinner
John,M,ADAMSON,George,HARRISS,lady's maid,plasterer,1736-03-14,Jane,ADAMSON,master butcher
Archibald,M,BOLAND,James,LEES,blacksmith,master mariner,1728-11-05,Agnes,BOLAND,leather goods maker
Hugh,M,CARTER,Robert,SELKIRK,servant,fisherman,1737-01-06,Emma,CARTER,miller
Agnes,F,OXLEE,Robert,DYSON,farmer and land owner,lab,1735-02-24,Rebecca,OXLEE,baptist minister
Mary,F,TUSTIN,Robert,DUPLOCK,ag lab,farrier,1732-08-05,Martha,TUSTIN,clerk  football pools company
Daniel,M,SPIRES,John,GRINDROD,tailor,labourer,1728-08-05,Joann,SPIRES,currier
James,M,ODEY,Peter,FARBROTHER,cafe proprietor,servant,1729-08-13,Matilda,ODEY,miner
John,M,BENN,Charles,HOWARTH,domestic servant,farm labourer,1727-05-23,Jane,BENN,farmer
Hellen,F,RICH,James,FAGAN,time keeper (civil engineering),teacher,1732-02-26,Isabella,RICH,plasterer
Mary,F,DANNILS,Robert,LOCK,warehouseman,foreman mechanic,1729-07-24,Marion,DANNILS,blacksmith
Jane,F,SWANSON,John,RYAN,sawyer,blacksmith,1731-09-20,Joan,SWANSON,farmer
William,M,REAKES,Willi,SCHULEN,labourer,fitter at steelplant,1734-06-03,Elizabeth,REAKES,miner
Wiliam,M,SMITH,Hugh,SPRAGG,potter,engine driver (british rail),1732-08-29,Isabella,SMITH,labourer
Isabella,F,DAVIES,James,RAY,meal miller,welder,1731-07-07,Jessie,DAVIES,carpenter
Agnes,F,FRITH,Malcolm,GRAHAM,butcher,pawn broker,1737-01-11,Margaret,FRITH,lab
Alexander,M,RICHARDSON,Alexander,CULL,servant,mechanic,1728-09-01,Margaret,RICHARDSON,watchmaker
Janet,F,HAWKEN,Alexander,BENNETT,domestic servant (parlourmaid),colliery engineer,1730-11-07,Catharine,HAWKEN,motorman
William,M,BUCK,Archibald,REES,munitions factory worker,senior contract engineer,1730-10-20,Margaret,BUCK,lab
Duncan,M,HERNE,John,JONES,farmer,tanner,1730-12-13,Elizabeth,HERNE,woollen draper
Jane,F,LIFTON,James,HOLLIWELL,gilder,carpenter,1727-08-05,Margaret,LIFTON,fisherman
Ellen,F,LYONS,Edward,NOTT,chemist and druggist,builder,1731-12-24,Susanah,LYONS,builder
Mary,F,SNOOK,Alexr,THOMAS,mercantile clerk,bootcloser,1730-10-26,Margaret,SNOOK,labourer in iron factory
Jane,F,TUCKER,James,MOUNTFORD,blacksmith,master mariner,1726-01-28,Margret,TUCKER,carpenter
Jane,F,OFFLER,Charles,WELLS,labourer,miner,1728-06-01,Mary,OFFLER,sugar boiler
Agnes,F,BOWMAN,Hugh,TREDWIN,draper,clerk,1728-06-02,Jane,BOWMAN,mason
Helen,F,PAINE,Edward,LOWSON,ag lab,seamstress,1734-06-17,Ellen,PAINE,assistant foreman
George,M,RIEVERTS,Harvey,COOKMAN,servant,farmer,1736-03-23,Annie,RIEVERTS,ropemaker
Jas,M,FULKER,James,BARBER,farmer,coachman,1729-02-10,Mary,FULKER,public transport omnibus driver
Samuel,M,HALL,John,ALLCOCK,greengrocer,analytical chemist,1735-10-31,Jane,HALL,architect
Mary,F,CLARKE,Willia,HARRIS,relief stamper,farm manager,1731-08-25,Maggie,CLARKE,groom
David,M,ROGERS,James,ELDRED,servant,"manager, tile factory",1729-10-27,Mary,ROGERS,coachman
Thomas,M,MORRIS,John,MILLER,farmer,school attendance officer,1731-03-02,Margaret,MORRIS,farmer
Elspet,F,SHAW,Henry,DOUR,engineer,boatman,1730-06-06,Elizabeth,SHAW,carpenter
Christina,F,CROOKS,Thomas,LAXTON,farmer,gardener,1739-08-21,Agnes,CROOKS,school mistress
Jeanie,F,STEPHENS,Wm,KNOW,riding master,secretary,1728-06-18,Janet,STEPHENS,mariner
Grace,F,DOWN,George,SHOOTER,printer,tanner,1732-12-08,Mary,DOWN,gentlemans coachman
Duncan,M,MANNING,James,TYNE,quarryman,farmer,1730-03-05,Mary,MANNING,tailor
George,M,BACKHOUSE,Thomas,DAVIDSON,ag lab,"assistant secretary, museum",1730-09-15,Jane,BACKHOUSE,gardener
Robert,M,FOSTER,Hugh,TROOP,labourer,oriform machinist,1735-08-24,Eliz,FOSTER,labourer
David,M,HARD,George,HUTTON,mason,blacksmith,1740-02-18,Annie,HARD,blacksmith
Margaret,F,MILLER,James,PHILLIPS,jack frame tenter (cotton mill),domestic servant,1731-07-01,C,MILLER,corporal & shorthand typist in legal branch of arm
Donald,M,EVANS,Archibald,BRAY,farmer,labourer,1748-05-10,Catherine,EVANS,sailor
James,M,HODGSON,Robert,MCCALLUM,labourer,cigarette maker,1734-02-21,Jessie,HODGSON,drover
George,M,FAIR,James,NORSK,thatcher,crane driver,1733-03-03,Mary,FAIR,farmer
Mary,F,BARKER,Samuel,STEWART,grocer,warehouseman,1729-12-27,Christina,BARKER,personal assistant to dept manager
Eliza,F,ROBERTS,Samuel,FORRESTER,domestic cleaner,jeweller,1735-11-18,Christiana,ROBERTS,shipwright
Agnes,F,GILMOUR,William,ALLEN,scrap labourer,railway clerk,1734-02-28,Isabella,GILMOUR,farm bailiff
Jessie,F,BODEN,James,GARDENER,servant,school master,1739-07-03,Elspet,BODEN,coal miner
Lucinda,F,FOURACRE,John,MALPAS,shopkeeper,weaver,1731-06-18,Margaret,FOURACRE,weaver
Mary,F,CHESTERTON,John,MUSTY,dockyard policeman,stonemason,1733-11-06,Marjory,CHESTERTON,commercial traveller (dec'd)
Annie,F,JONE,Duncan,PARDOE,saddler,gardener,1735-06-30,Jane,JONE,shop assistant
Ann,F,JONE,Duncan,PARDOE,saddler,gardener,1735-06-30,Jane,JONE,general labourer
Alexander,M,CALVERT,Alexr,HENDELL,shoemaker,waterman,1729-11-25,Janet,CALVERT,electrician
Jessie,F,WALLER,Robert,SMITH,hawker,farmer,1731-01-28,Caloline,WALLER,mason
Annie,F,VICKERS,Wm,WHITTLE,glassmaker,blacksmith,1729-11-22,Mary,VICKERS,engineer
Will,M,LONDON,John,PASSMORE,farmer,map and print colourer,1734-01-06,Ann,LONDON,headmaster
John,M,STURGESS,Patrick,FORRESTER,shoe finisher,steel erector,1741-01-26,Annie,STURGESS,accountant
Annie,F,RAMSDEN,Will,WEBESTER,railway guard,master butcher,1735-06-04,Elen,RAMSDEN,clerk in holy orders
Euphema,F,THOMAS,Samuel,GREENAWAY,landowner,nurseryman,1731-06-11,Christina,THOMAS,clerk
Mary,F,PHILLIPS,John,SHINN,textile worker,mariner,1734-11-30,Ellen,PHILLIPS,farmer
Colin,M,WILLIAMS,David,RAE,cab proprietor,cheesemonger,1734-03-27,Elizabeth,WILLIAMS,solicitor
Mary,F,MORAN,Thomas,BARSBY,ships carpenter,bricklayer,1735-09-26,Elizabeth,MORAN,paper mill worker
John,M,DAVIES,William,PAWSEY,shop owner,iron merchant,1736-09-19,Mary,DAVIES,compositor
Jessie,F,THOMAS,Matthew,GILL,farmer,domestic servant,1734-01-26,Margaret,THOMAS,dressmaker
Robert,M,QUARLE,James,BARRETT,farm labourer,laundress,1736-03-27,Mary,QUARLE,sea captain
Jessie,F,DICKENSON,James,RISPIN,yeoman  farmer,"box tenter, woollen mill",1735-02-04,Martha,DICKENSON,gardener
Catherine,F,BELL,John,HARDCASTLE,lab,carpenter,1739-06-02,Helen,BELL,lacemaker
Robert,M,TAYLOR,William,EVANS,officer of customs & excise (docks),mechanical engineering worker (skilled),1730-11-11,Isabella,TAYLOR,servant
Charles,M,SAUNDERSON,William,WETHERELL,mariner,farm labourer,1731-11-15,Mary,SAUNDERSON,coal miner
Jane,F,PETERS,Caldwell,NORTH,farmer,boiler maker,1732-03-28,Maggie,PETERS,gardener
Willia,M,BENN,Charles,HOWARTH,domestic servant,farm labourer,1733-03-05,Jane,BENN,draper
Georgina,F,LOCH,Alfred,MCMILLAN,steam roller driver,miller,1733-12-04,Annie,LOCH,cotton mill dresser
Catherine,F,CHAPLIN,William,BROWNLIE,weaver,policeman,1738-07-06,Ann,CHAPLIN,master tailor
Janet,F,LIFTON,James,HOLLIWELL,gilder,carpenter,1729-11-26,Margaret,LIFTON,farmer
Elizbeth,F,EDWARD,Samuel,DAWSON,farmer,"builder, master (dockyards)",1732-05-13,Helen,EDWARD,ag lab
Robt,M,DAVIES,Mark,SPRINGETT,transport rider,cabinet maker,1733-12-28,Elizabeth,DAVIES,granite polisher
Alexander,M,DAVIES,Mark,SPRINGETT,transport rider,cabinet maker,1733-12-28,Elizabeth,DAVIES,farmer
William,M,DAVIES,Mark,SPRINGETT,transport rider,cabinet maker,1733-12-28,Elizabeth,DAVIES,labourer
Malm,M,DAVIES,Mark,SPRINGETT,transport rider,cabinet maker,1733-12-28,Elizabeth,DAVIES,domestic servant
James,M,HEATLEY,Archbald,SUTCLIFFE,head brewer,commercial traveller,1732-09-01,Harriet,HEATLEY,chief boatswain (coastguard)
Maggie,F,DYER,David,ANDERSON,painter,vinegar merchant,1733-04-05,Alice,DYER,miller
Marion,F,DAUKES,James,REDFORDS,carter,gardener,1730-03-02,Anne,DAUKES,sailor
Robert,M,PERRY,John,BINGHAM,coal miner,house parlour maid,1740-08-07,Jane,PERRY,miner
George,M,MORRISON,William,HARRISON,miller,painter,1739-03-06,Jessie,MORRISON,boilermaker
Mary,F,SIMON,George,BROWN,soldier,thatcher,1734-08-16,Jessie,SIMON,tailoress
Rob,M,HALL,Daniel,LATINDIE,forgeman,gentleman,1733-07-08,Jane,HALL,tenant farmer
Margaret,F,TONGE,John,ROBINSON,parish clerk,locksmith,1736-03-04,Sophia,TONGE,weaver
Ruth,F,MORTIMER,John,LYNALL,telephone engineer - g.p.o.,dressmaker,1732-04-27,Elizth,MORTIMER,coal miner
Thos,M,CHADWICH,Charles,JONES,engineer,cabinet maker,1732-01-11,Maggie,CHADWICH,lab
Helen,F,CHADWICH,Charles,JONES,engineer,cabinet maker,1732-01-11,Maggie,CHADWICH,stone mason
Maggie,F,GARDNER,William,HANOLD,house carpenter,house agent,1737-05-24,Elizabeth,GARDNER,printer
Sarah,F,HOLLAND,Willia,MAGRATH,lt rn,stone cutter,1732-10-10,Agnes,HOLLAND,labourer
Jane,F,MUNDELL,John,REAKES,labourer,farmer,1734-06-30,Margaret,MUNDELL,cordwainer
Margaret,F,ANDERSON,Patrick,MOON,farmer,police constable,1732-09-28,Ann,ANDERSON,tailor
James,M,ROBERTS,Robert,RODGERS,farmer,labourer,1745-06-01,Mary,ROBERTS,clerk in holy orders
George,M,BOYLE,Hector,WATON,iron works manager,labourer,1736-03-12,Agnes,BOYLE,mechanical dentist
Agnes,F,FLETCHER,Andrew,COOK,bleacher,shop assistant in greengrocer's,1734-09-26,Ann,FLETCHER,sanitary inspector
Isabella,F,TODD,James,ELLIS,timber merchant,farm labourer,1745-11-27,Ann,TODD,school teacher
Alexander,M,STIVEY,Edmund,LAWSON,butcher,gas works labourer,1735-07-19,Jane,STIVEY,quarryman
Agnes,F,OVENDEN,David,CRICK,grazier,butcher,1736-01-11,Jane,OVENDEN,warehouseman
Catherine,F,BURNETT,John,JACKSON,collier,"fireman,",1736-12-14,Amelia,BURNETT,painter
Jessie,F,OFFLER,Charles,WELLS,labourer,miner,1735-07-27,Mary,OFFLER,teacher
Marion,F,BOWMAN,Hugh,TREDWIN,draper,clerk,1733-03-07,Jane,BOWMAN,"civil servant, post office"
Mary,F,KENNETT,Robert,SHAW,foreman fire service,lab,1732-06-05,Janet,KENNETT,painter
Thomas,M,STEPHENS,Wm,KNOW,riding master,secretary,1731-02-18,Janet,STEPHENS,fisherman
Isabella,F,FLINT,Robert,MORISON,farmer,grocer,1735-06-10,Jane,FLINT,domestic servant
Williamina,F,SPIRES,John,GRINDROD,tailor,labourer,1732-08-29,Joann,SPIRES,bank clerk
John,M,BROWN,John,LEES,lab,horsekeeper,1734-04-08,Mary,BROWN,builder
Annie,F,RICHARDSON,Alexander,CULL,servant,mechanic,1733-04-08,Margaret,RICHARDSON,cotton broker
Donald,M,BURT,John,HUNTER,currier,file cutter,1732-11-27,Georgina,BURT,carpenter
John,M,CHANNAR,Duncan,SMITH,carpenter,smith,1740-01-02,Helen,CHANNAR,miner (face)
Ann,F,THOMPSON,Jas,HISCOCKS,butcher,shear striker,1733-10-31,Elizabeth,THOMPSON,cordwainer
Mary,F,BOLAND,James,LEES,blacksmith,master mariner,1733-11-09,Agnes,BOLAND,maltster
Jessie,F,WALLER,John,KERR,farmer,gardener,1737-12-27,Mary,WALLER,coach painter
Terrace,M,MOORE,Thomas,MANN,tailor,tanner,1732-05-19,Ketty,MOORE,butcher
Donald,M,JENNINGS,Duncan,GREASELEY,coastguard,mariner,1738-10-29,Janet,JENNINGS,labourer
Dugald,F,FULKER,James,BARBER,farmer,coachman,1738-09-01,Mary,FULKER,central heating & plumber engineer
Hugh,M,BROWN,James,TILLE,bricklayer,labourer,1731-08-07,Matilda,BROWN,warehouse man
Mary,F,WOOTTON,George,ELWORTHY,secretary,stonemason,1735-01-29,Jane,WOOTTON,waterman
John,M,MCCRAE,Henry,WALTERS,servant,gardener,1736-04-17,Jane,MCCRAE,lace maker
John,M,LEE,Thomas,VOYER,puddler (at iron works),seaman,1752-07-29,Janet,LEE,domestic servant
Mary,F,ADAMSON,Andrew,GIBSON,weaver,fitter and turner,1736-04-16,Isabella,ADAMSON,table knife hafter
Margaret,F,NIMMO,John,ROBERTS,farmer,bottlemaker,1738-03-20,Mary,NIMMO,builders labourer
William,M,CLEMO,Charles,BROWN,ag lab,grocer,1735-04-28,Sarah,CLEMO,farmer
Robert,M,MINTO,John,HOBERTON,ag lab,straw plaiter,1740-05-30,Elizabeth,MINTO,lab
Elizabeth,F,CLARK,Patrick,SLITH,farmer,"clerk, railway works",1733-08-01,Elizabeth,CLARK,miner
John,M,HARRIS,John,MITCHELL,file cutter,labourer,1737-04-22,Margret,HARRIS,railwayman
Alexander,M,DANNILS,Robert,LOCK,warehouseman,foreman mechanic,1734-12-27,Marion,DANNILS,ag lab
Alexr,M,ODEY,Peter,FARBROTHER,cafe proprietor,servant,1736-03-28,Matilda,ODEY,"sergeant, royal marines"
William,M,STRUIGER,Hugh,CROSSIAN,miner,typist,1736-11-07,Margaret,STRUIGER,iron works employee
Hugh,M,FOX,William,REYNOLDS,mariner,jailor,1743-09-15,Jane,FOX,general lab
Hannah,F,MCDONALD,Andrew,HAYES,labourer,grocer's assist.,1732-11-11,Janet,MCDONALD,shoemaker
James,M,WHATTON,John,STEPHENSON,carpenter,mariner,1736-03-29,Elisabeth,WHATTON,farmer
Jane,F,CORBY,Daniel,ASPREAL,labourer,joiner,1737-11-05,Janet,CORBY,saddler
Jean,F,TEASDALE,James,SLATARD,labourer,farmer,1746-01-16,Elspeth,TEASDALE,clerk
James,M,ROGERS,James,ELDRED,servant,"manager, tile factory",1734-09-25,Mary,ROGERS,gardener
Peter,M,HAMPTON,Alexander,DAVIES,labourer,manager of newsagent/tobacconist,1737-06-13,Rebecca,HAMPTON,corresponding clerk
Will,M,TAYLOR,John,MASLIN,mason,clerk,1736-02-09,Sarah,TAYLOR,enamel leather worker
Samuel,M,VICKERS,Wm,WHITTLE,glassmaker,blacksmith,1734-09-01,Mary,VICKERS,blacksmith
Malcom,M,CALVERT,Alexr,HENDELL,shoemaker,waterman,1734-07-21,Janet,CALVERT,engineering contractor
Elizabeth,F,LIFTON,James,HOLLIWELL,gilder,carpenter,1734-05-04,Margaret,LIFTON,dental surgeon
David,M,JONES,Alexanda,NICHOLLS,blacksmith,twister,1744-07-24,Mary,JONES,coal miner
Margaret,F,MARCH,Andrew,MITCHELL,bricklayer,domestic servant,1739-05-08,Margaret,MARCH,ship wright
Samuel,M,BARKER,Samuel,STEWART,grocer,warehouseman,1735-02-28,Christina,BARKER,labourer
Stewart,M,GREEN,James,WILLIAMS,smith,brickmaker,1738-02-09,Jane,GREEN,gardener
James,M,DAUKES,James,REDFORDS,carter,gardener,1736-02-16,Anne,DAUKES,butcher
Thomas,M,MANNING,James,TYNE,quarryman,farmer,1739-08-15,Mary,MANNING,ironmonger
Eliza,F,GRETTON,Andrew,FERDINAND,shepherd,blacksmith,1734-04-11,Helen,GRETTON,laundress
Agnes,F,WEDLOCK,John,DUDLEY,clay tobacco pipe maker,labourer,1736-02-14,Agnes,WEDLOCK,ag lab
Jane,F,HORSNALL,Joseph,BRADDISH,shoe shop manageress,hotel keeper,1739-10-17,Thos,HORSNALL,blacksmith
Jane,F,ANDREWS,David,FORMAN,railway inspector,pattern maker,1733-10-30,Agnes,ANDREWS,gardener
Grace,F,SMITH,James,DAVIDGE,ladies companion,farmer,1752-07-27,Jane,SMITH,perpetual curate
James,M,COLES,Robert,EVANS,watchmaker,gentleman,1736-06-22,Margaret,COLES,labourer
William,M,COLES,Robert,EVANS,watchmaker,gentleman,1736-06-22,Margaret,COLES,labourer
Mary,F,ROWAN,Christopher,LONG,reeler,clerk,1739-07-25,Maria,ROWAN,tobacconist
Alexander,M,SUMMERS,Dugald,DUFF,labourer,lab,1735-12-07,Mary,SUMMERS,spinner
John,M,ENGLISH,Robert,CHALMERS,tailor,carriage works tinsmith,1739-11-18,Margaret,ENGLISH,farmer
